name,iso3,continet,status,flag
Algeria,DZA,Africa,Banned By Law,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/africa/algeria-flag.gif
Angola,AGO,Africa,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/africa/Angola-flag.gif
Benin,BEN,Africa,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/africa/Benin-flag.gif
Botswana,BWA,Africa,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/africa/Botswana-flag.gif
Burkina Faso,BFA,Africa,Permitted By Constitution,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/africa/Burkina-Faso-flag.gif
Burundi,BDI,Africa,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/africa/Burundi-flag.gif
Cameroon,CMR,Africa,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/africa/Cameroon-flag.gif
Cape Verde,CPV,Africa,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/africa/Cape-Verde-flag.gif
Central African Republic,CAF,Africa,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/africa/Central-African-Republic-flag.gif
Chad,TCD,Africa,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/africa/Chad-flag.gif
Cote d'Ivoire,CIV,Africa,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/africa/cote-dlvorie-flag.gif
Comoros,COM,Africa,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/africa/Comoros-flag.gif
Congo,COG,Africa,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/africa/Congo-flag.gif
Congo DRC,COD,Africa,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/africa/Congo-DRC-flag.gif
Djibouti,DJI,Africa,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/africa/Djibouti-flag.gif
Egypt,EGY,Africa,Permitted By Constitution,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/africa/Egypt-flag.gif
Equatorial Guinea,GNQ,Africa,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/africa/Equatorial-Guinea-flag.gif
Eritrea,ERI,Africa,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/africa/Eritrea-flag.gif
Ethiopia,ETH,Africa,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/africa/Ethiopia-flag.gif
Gabon,GAB,Africa,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/africa/Gabon-flag.gif
Gambia,GMB,Africa,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/africa/Gambia-flag.gif
Ghana,GHA,Africa,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/africa/Ghana-flag.gif
Guinea,GIN,Africa,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/africa/Guinea-flag.gif
Guinea Bissau,GNB,Africa,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/africa/Guinea-Bissau-flag.gif
Kenya,KEN,Africa,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/africa/Kenya-flag.gif
Lesotho,LSO,Africa,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/africa/Lesotho-flag.gif
Liberia,LBR,Africa,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/africa/Liberia-flag.gif
Libya,LBY,Africa,Permitted By Law,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/africa/Libya-flag.gif
Madagascar,MDG,Africa,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/africa/Madagascar-flag.gif
Malawi,MWI,Africa,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/africa/Malawi-flag.gif
Mali,MLI,Africa,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/africa/Mali-flag.gif
Mauritania,MRT,Africa,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/africa/Mauritania-flag.gif
Mauritius,MUS,Africa,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/africa/Mauritius-flag.gif
Morocco,MAR,Africa,Banned By Constitution,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/africa/Morocco-flag.gif
Mozambique,MOZ,Africa,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/africa/Mozambique-flag.gif
Namibia,NAM,Africa,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/africa/Namibia-flag.gif
